StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2_Browser,Q2_Version,Q2_Operating System,Q2_Resolution,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q15,Q18,Q19,SC0,DeviceIdentifier,workerId,assignmentId,hitId
7/24/20 20:57,7/24/20 20:57,0,73.41.3.149,100,13,1,7/24/20 20:57,R_z23cvJDqOAFch8d,,,,,37.32569885,-120.4999008,anonymous,EN,0.9,Safari iPhone,13.1.1,iPhone,414x896,,,,,,,,,,,,,,,A3VI14PQFWGLI5,39OWYR0EPKR1L0B4H4EU58FUWOVFY6,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 20:59,7/24/20 20:59,0,108.216.148.100,100,15,1,7/24/20 20:59,R_1fa4N0TaXGZpGVw,,,,,32.80029297,-117.2438049,anonymous,EN,0.9,Firefox,68,Android 9,1920x980,,,,,,,,,,,,,,,A1CQ0A0GDCNWQM,36ZN444YTRY91D9SCPBH6EUKY6OOIV,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 20:58,7/24/20 21:01,0,68.134.94.244,100,152,1,7/24/20 21:01,R_1IshWNInARf4TNw,,,,,39.38600159,-76.54000092,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1536x864,21,2,4,3,1,5,1,1,2,1,3,3,47,,A14R4LVM677HIN,3VFJCI1K4ZZY2ZVDETSIFXM9UGGGR4,3RIHDBQ1NEYIJVF22O9HQE8DXTLMHO
7/24/20 20:59,7/24/20 21:01,0,104.33.144.242,100,86,1,7/24/20 21:01,R_sX6BOKBr8kXQPiV,,,,,33.82409668,-117.5197983,anonymous,EN,0.9,Chrome,84.0.4147.89,Macintosh,1440x900,5,2,1,1,2,3,2,2,2,1,4,2,27,,A2U8STC1WIOYWI,374TNBHA8BVYCP1DVKPOH7J83Q4QYB,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 20:58,7/24/20 21:01,0,71.198.198.45,100,154,1,7/24/20 21:01,R_27fh69Ow843uQld,,,,,37.28210449,-121.8310013,anonymous,EN,0.9,Chrome,84.0.4147.89,Macintosh,2560x1440,5,1,4,3,1,6,1,2,2,1,4,3,33,,A38GB37NS393M3,36V4Q8R5ZK0YI8CZCH1DNCW1UGQQML,3RIHDBQ1NEYIJVF22O9HQE8DXTLMHO
7/24/20 20:58,7/24/20 21:02,0,35.129.55.59,100,203,1,7/24/20 21:02,R_BWkn8STdfvdae9H,,,,,38.7243042,-89.8707962,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,14,2,4,3,2,3,2,2,2,1,4,3,42,,A34LAJH3Q4GEPC,3LWJHTCVCCMSCYKIQUX0SMCSXFEQFE,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 20:58,7/24/20 21:02,0,68.80.184.31,100,201,1,7/24/20 21:02,R_2ea7JsyzoP2sXIX,,,,,39.94439697,-75.58750153,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1536x864,39,2,1,3,3,3,2,2,2,1,4,3,65,,A3QFZFYRTA2THD,3AAPLD8UCCHPIA3G2OFV0CZSX1QTHT,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 20:58,7/24/20 21:02,0,64.57.62.41,100,231,1,7/24/20 21:02,R_w0sAldwnIQbbCPD,,,,,37.47250366,-105.8796005,anonymous,EN,0.9,Chrome,83.0.4103.116,Windows NT 10.0,1920x1080,6,2,3,"3,4",2,4,2,2,2,1,4,3,38,,A21CAWN21WWO91,320DUZ38G7MH4BC06OJ9D60IKZMGJC,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 20:56,7/24/20 21:02,0,72.203.83.155,100,342,1,7/24/20 21:02,R_3iK1hZBFCJzQ53C,,,,,33.75149536,-118.3670044,anonymous,EN,0.9,Chrome,84.0.4147.89,Macintosh,1440x900,5,1,4,1,2,5,2,2,2,1,4,3,32,,AQTAV86EK0WHN,31UV0MXWNQCNT33A7AFIX8UTHBJ5I7,3RIHDBQ1NEYIJVF22O9HQE8DXTLMHO
7/24/20 21:01,7/24/20 21:02,0,108.83.212.104,100,88,1,7/24/20 21:02,R_3O668vBVv6qGGIU,,,,,34.0296936,-84.14689636,anonymous,EN,0.9,Chrome,83.0.4103.116,Macintosh,1440x900,11,1,1,1,2,3,2,2,2,1,4,3,33,,A17CTPL658MHXG,3X3OR7WPZZ086MUIQBJY18WC05E8LQ,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 20:59,7/24/20 21:02,0,108.216.148.100,100,170,1,7/24/20 21:02,R_5jvYGXKFR9boUZX,,,,,32.80029297,-117.2438049,anonymous,EN,0.9,Chrome,83.0.4103.119,CrOS x86_64 13020.87.0,1536x864,5,2,2,3,3,3,1,1,1,1,4,3,29,,A1CQ0A0GDCNWQM,36ZN444YTRY91D9SCPBH6EUKY6OOIV,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 21:00,7/24/20 21:02,0,100.15.200.132,100,139,1,7/24/20 21:02,R_2s6VxJTtUNCIusj,,,,,38.93789673,-77.08589935,anonymous,EN,0.9,Safari,13.1.1,Macintosh,1440x900,9,2,2,3,2,5,1,2,2,1,4,3,36,,AKEMS83MHQJQO,3EJPLAJKEMG57XSYCXD9P9BJ9JWZ6E,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 20:59,7/24/20 21:04,0,136.55.87.250,100,290,1,7/24/20 21:04,R_2YageV5qzZKMMXx,,,,,33.8742981,-84.46530151,anonymous,EN,0.9,Chrome,83.0.4103.116,Macintosh,1280x800,11,2,2,4,2,6,1,2,2,1,4,3,40,,A3GMHF3ORZ3Z5O,3F6HPJW4JD0DV14SE8HZ0S0PCCQ2WA,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 20:57,7/24/20 21:04,0,24.17.212.188,100,398,1,7/24/20 21:04,R_cI24D0jXOAhfaWB,,,,,47.5579071,-122.1632996,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1536x864,49,1,5,3,2,5,2,2,2,1,3,3,78,,A1RC2ETLOSZGP0,3F6KKYWMNB1ABHTUJWAT0SE2GRBDN3,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:00,7/24/20 21:04,0,24.10.177.198,100,205,1,7/24/20 21:04,R_33vTo1leuhEY812,,,,,40.6499939,-112.0061035,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,46,1,2,3,2,2,2,2,2,2,3,2,69,,ATLBVPKSQ8Y3L,3NPFYT4IZC4IZVHPNSYA4F8XVX1XGH,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 21:00,7/24/20 21:04,0,184.59.166.77,100,222,1,7/24/20 21:04,R_1l4AJbuh6KFzKPa,,,,,38.60710144,-86.0786972,anonymous,EN,0.9,Edge,84.0.522.40,Windows NT 10.0,1366x768,15,2,3,"2,3",2,3,2,2,2,1,4,3,44,,A207NFCCZS5QA4,36W0OB37HWEL4MCF8G4DM009IXCZHF,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 21:02,7/24/20 21:05,0,24.255.239.252,100,161,1,7/24/20 21:05,R_3poqB9akAYn0ahi,,,,,37.77789307,-97.31510162,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,17,2,4,3,4,5,2,2,2,2,1,2,46,,A30GXQQPO63I9C,32SVAV9L3F9596X8H3ZC1D8QQ7OA3J,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:03,7/24/20 21:05,0,174.250.30.10,100,124,1,7/24/20 21:05,R_3PuHQprAGppDJ6l,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Chrome,77.0.3865.90,Macintosh,1440x900,3,2,3,3,2,6,1,1,2,1,4,3,31,,A1P14N5TF1M7BL,3ZAZR5XV01IUNE1ZMOQCB93T558CZK,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:03,7/24/20 21:06,0,73.219.131.185,100,158,1,7/24/20 21:06,R_3CDYFYE1C3T7JiK,,,,,41.27760315,-72.81150055,anonymous,EN,0.9,Firefox,76,Macintosh,1280x800,7,1,3,3,2,6,1,2,2,1,4,3,35,,AA6YQ5K69SLRH,3E47SOBEYQW8SOCPMK2QBE039S6ICT,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:06,7/24/20 21:06,0,174.240.128.142,100,11,1,7/24/20 21:06,R_3Ma6jfYpT5pn7F8,,,,,30.45489502,-90.9029007,anonymous,EN,0.9,Chrome,84.0.4147.89,Android 9,412x823,,,,,,,,,,,,,,,A1V2M14O1IY6YL,3BWI6RSP7G9Q02F7ZK4OADAXGO8E7N,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:05,7/24/20 21:06,0,74.67.45.4,100,70,1,7/24/20 21:06,R_1OvPSOvyuASeb62,,,,,42.67010498,-73.77539825,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1440x960,33,2,3,2,2,6,1,1,1,1,3,3,58,,A39VZ93N96XB6O,3HFNH7HEMHEYQYGD1E3IA7C4YUFQGE,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:01,7/24/20 21:07,0,73.206.81.3,100,318,1,7/24/20 21:07,R_e4BhP9DJ1mt8drz,,,,,29.80999756,-95.56079865,anonymous,EN,0.9,Chrome,80.0.3987.158,CrOS x86_64 12739.105.0,1366x768,45,1,4,4,1,6,1,2,2,1,3,2,72,,AKC4YPSEUUNZK,3NXNZ5RS1AX956OQR9O2IZ9MPRS796,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:01,7/24/20 21:07,0,71.255.102.102,100,353,1,7/24/20 21:07,R_RlSCZSnT9MSrzaN,,,,,39.93609619,-75.26249695,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1600x900,39,1,2,1,3,5,2,2,2,1,2,2,62,,A3OHYXTHW11HS7,3ZPBJO59KP1I1L7JGYFGV8H6UF2DHU,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 21:03,7/24/20 21:07,0,75.163.56.36,100,223,1,7/24/20 21:07,R_2zjfl1KRRkpQaFH,,,,,35.98249817,-78.53759766,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,34,2,5,2,2,5,2,2,2,1,4,3,64,,A11HCHEXMVLD1E,30OG32W0SUBF3N7UFRLD6AWNG3DNE7,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:01,7/24/20 21:07,0,172.6.27.157,100,355,1,7/24/20 21:07,R_20StcscIlwxZxxj,,,,,32.8618927,-90.40149689,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,1,2,3,2,2,4,2,2,2,1,4,3,28,,AW2ECJJ1ROKOC,3NAPMVF0ZWFY5M3R609N8C18JLI72E,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:07,7/24/20 21:09,0,72.180.94.245,100,84,1,7/24/20 21:09,R_3J4MIWywoAtYDFb,,,,,33.03259277,-96.7858963,anonymous,EN,0.9,Edge,18.19041,Windows NT 10.0,1920x1080,45,2,4,7,2,5,2,2,2,1,4,3,79,,A2NC7QEIUJKCWD,3Z9WI9EOZZOQFRDT8F13ZLCWEO0HKC,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:03,7/24/20 21:09,0,192.161.252.162,100,348,1,7/24/20 21:09,R_2WORa8uswIj9dQb,,,,,27.42489624,-97.8411026,anonymous,EN,0.9,Firefox,78,Windows NT 10.0,1366x768,45,1,3,2,1,6,2,2,2,1,4,3,72,,A2N40WV4GT6BRY,3Z2R0DQ0JHEJE1I1T8NTEMTP58M2EV,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:06,7/24/20 21:09,0,47.24.145.38,100,198,1,7/24/20 21:09,R_1jwYJyExrTtqcOU,,,,,38.66200256,-90.28890228,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1280x800,26,2,5,2,2,2,1,1,1,1,4,2,49,,A1XBESAVY145F4,3NGI5ARFTT5GM7PVJI3Q3FIOR9AP1M,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:14,7/24/20 21:16,0,73.68.49.29,100,119,1,7/24/20 21:16,R_21vnIa39mHxqeNV,,,,,41.38850403,-73.07910156,anonymous,EN,0.9,Chrome,83.0.4103.116,Macintosh,1920x1080,7,1,2,3,3,3,1,2,2,1,1,2,28,,AI8UTU1Q3KDXH,35GMH2SV3EHXL876G6LQLZWS6DJEOE,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:11,7/24/20 21:18,0,65.249.174.223,100,438,1,7/24/20 21:18,R_XYxeoMsgls3wY6t,,,,,34.0296936,-84.14689636,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 6.3,1920x1080,33,2,2,3,1,5,1,1,1,1,2,1,53,,ACBZKZ1EUIO13,3JBT3HLQF82DH3A3RTCIV9204ONZPL,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:08,7/24/20 21:33,0,24.21.8.31,100,1488,1,7/24/20 21:33,R_33vUPXChHNGBxea,,,,,45.48049927,-122.6362991,anonymous,EN,0.9,Chrome,84.0.4147.89,Macintosh,1680x1050,38,1,2,3,4,4,2,2,2,1,3,3,65,,A7GVNWSCFN20T,3T3IWE1XG6N2V32JLE2P9QRTOONTQQ,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:33,7/24/20 21:36,0,98.195.11.203,100,214,1,7/24/20 21:36,R_20M7Lzkqt3cH8Lz,,,,,29.89729309,-95.64630127,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,45,1,3,4,3,6,1,1,1,1,4,3,73,,A2GVUM5VNZWBN3,3ZY8KE4ISJ3H8V68Q924A8FEL96QV6,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 21:43,7/24/20 21:48,0,74.193.187.42,100,278,1,7/24/20 21:48,R_3QYOF3rqYse1Y5s,,,,,31.11140442,-93.26909637,anonymous,EN,0.9,Chrome,83.0.4103.116,Windows NT 10.0,1366x768,19,2,3,2,1,6,2,2,2,1,2,1,43,,AQJH9M1GRGPGG,39U1BHVTDLRAO2WHN3QTWIYIEWD3T1,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP